42.951263427734375  : ->BMS     : 31 02 02 | 3c 28
42.99391770362854   : <-BMS     : 31 82 28 | 0e a0 0e a1 0e a3 0e a3 0e a4 0e 9e 0e a6 0e a6 0e a4 0e 8f 0e a4 0e a8 0e a8 00 00 00 00 00 00 00 00 00 00 00 00 00 00
43.09150266647339   : ->Dash    : 10 04 13 | 02 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
43.136653661727905  : <-Dash    : 10 84 01 | 01
43.209500551223755  : ->FOC     : 20 02 02 | 05 09
43.23072576522827   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 00 00 00 02
43.326069355010986  : ->BMS     : 31 02 02 | 02 2b
43.3679838180542    : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f2
43.47342371940613   : ->Dash    : 10 04 13 | 02 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
43.505107164382935  : <-Dash    : 10 84 01 | 01
43.58980131149292   : ->FOC     : 20 02 02 | 05 09
43.6112494468689    : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 00 00 00 02
43.706852436065674  : ->unknown : 70 02 02 | 20 06
43.843838691711426  : ->Dash    : 10 04 13 | 02 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
43.88699769973755   : <-Dash    : 10 84 01 | 01
43.96175527572632   : ->FOC     : 20 02 02 | 05 09
43.99386215209961   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 00 00 00 02
44.089680910110474  : ->BMS     : 31 02 02 | 2d 0f
44.110822677612305  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
44.22555732727051   : ->Dash    : 10 04 13 | 02 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
44.25650978088379   : <-Dash    : 10 84 01 | 01
44.34080982208252   : ->FOC     : 20 02 02 | 05 09
44.37256073951721   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 00 00 00 02
44.46553111076355   : ->unknown : 70 02 02 | 20 06
44.60791277885437   : ->Dash    : 10 04 13 | 02 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
44.63963866233826   : <-Dash    : 10 84 01 | 01
44.72396993637085   : ->FOC     : 20 02 02 | 05 09
44.745227336883545  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 00 00 00 02
44.839735984802246  : ->BMS     : 31 02 02 | 3c 28
44.88248872756958   : <-BMS     : 31 82 28 | 0e 9e 0e a3 0e 9e 0e a3 0e a4 0e 9e 0e a1 0e a3 0e a3 0e 93 0e a4 0e a6 0e a6 00 00 00 00 00 00 00 00 00 00 00 00 00 00
44.97742772102356   : ->Dash    : 10 04 13 | 02 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
45.00940299034119   : <-Dash    : 10 84 01 | 01
45.104407787323     : ->FOC     : 20 02 02 | 05 09
45.12608766555786   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
45.22122240066528   : ->BMS     : 31 02 02 | 02 2b
45.26435112953186   : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f2
45.358072996139526  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
45.38989186286926   : <-Dash    : 10 84 01 | 01
45.47409701347351   : ->FOC     : 20 02 02 | 05 09
45.50571322441101   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
45.60063099861145   : ->unknown : 70 02 02 | 20 06
45.73851180076599   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
45.75946497917175   : <-Dash    : 10 84 01 | 01
45.857871770858765  : ->FOC     : 20 02 02 | 05 09
45.889835596084595  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
45.974470138549805  : ->BMS     : 31 02 02 | 2d 0f
46.006144285202026  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
46.112284898757935  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
46.14460110664368   : <-Dash    : 10 84 01 | 01
46.24102735519409   : ->FOC     : 20 02 02 | 05 09
46.263025522232056  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
46.35976576805115   : ->unknown : 70 02 02 | 20 06
46.49664831161499   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
46.51745653152466   : <-Dash    : 10 84 01 | 01
46.612138986587524  : ->FOC     : 20 02 02 | 05 09
46.64433312416077   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
46.72957468032837   : ->BMS     : 31 02 02 | 3c 28
46.77556490898132   : <-BMS     : 31 82 28 | 0e a1 0e a4 0e a0 0e a4 0e a4 0e 9c 0e a3 0e a6 0e a8 0e 93 0e a3 0e a8 0e a8 00 00 00 00 00 00 00 00 00 00 00 00 00 00
46.87451529502869   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
46.916659355163574  : <-Dash    : 10 84 01 | 01
46.990769147872925  : ->FOC     : 20 02 02 | 05 09
47.022698640823364  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
47.107609033584595  : ->BMS     : 31 02 02 | 02 2b
47.14970302581787   : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f2
47.257550954818726  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
47.28919792175293   : <-Dash    : 10 84 01 | 01
47.37355613708496   : ->FOC     : 20 02 02 | 05 09
47.39821100234985   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
47.49205756187439   : ->unknown : 70 02 02 | 20 06
47.62913370132446   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
