75.82540965080261   : ->unknown : 70 02 02 | 20 06
75.92873334884644   : ->FOC     : 20 02 02 | 05 08
75.95014548301697   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
76.04394102096558   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
76.06556797027588   : <-Dash    : 10 84 01 | 01
76.1281476020813    : ->BMS     : 31 02 02 | 2d 0f
76.16002893447876   : <-BMS     : 31 82 0f | 02 19 00 00 00 01 64 00 00 00 19 19 19 19 19
76.23343801498413   : ->FOC     : 20 02 02 | 05 08
76.25481629371643   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
76.34911441802979   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
76.39091205596924   : <-Dash    : 10 84 01 | 01
76.43303442001343   : ->unknown : 70 02 02 | 20 06
76.53654074668884   : ->FOC     : 20 02 02 | 05 08
76.56770515441895   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
76.65143418312073   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
76.6932418346405    : <-Dash    : 10 84 01 | 01
76.74577736854553   : ->BMS     : 31 02 02 | 2d 0f
76.77688336372375   : <-BMS     : 31 82 0f | 02 19 00 00 00 02 64 00 00 00 19 19 19 19 19
76.85002088546753   : ->FOC     : 20 02 02 | 05 08
76.87109804153442   : <-FOC     : 20 82 0c | 30 26 3c 01 00 16 00 00 00 00 08 00
76.96456503868103   : ->Dash    : 10 04 0f | 06 f0 01 00 27 2e 00 00 00 00 64 00 cc cc 00
76.99591302871704   : <-Dash    : 10 84 01 | 01
