40.82955741882324   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
40.862695932388306  : <-Dash    : 10 84 01 | 01
40.947168827056885  : ->FOC     : 20 02 02 | 05 08
40.968512773513794  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
41.06203103065491   : ->unknown : 70 02 02 | 20 06
41.18879175186157   : ->Dash    : 10 04 0f | 06 20 01 00 2a 53 00 00 00 00 64 00 cc cc 00
41.23178791999817   : <-Dash    : 10 84 01 | 01
41.3112268447876    : ->FOC     : 20 02 02 | 05 08
41.33310008049011   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
41.43007755279541   : ->BMS     : 31 02 02 | 2d 0f
41.464290618896484  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
41.55983066558838   : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
41.591968297958374  : <-Dash    : 10 84 01 | 01
41.679383277893066  : ->FOC     : 20 02 02 | 05 08
41.71196126937866   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
41.79982614517212   : ->unknown : 70 02 02 | 20 06
41.926231145858765  : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
41.96214270591736   : <-Dash    : 10 84 01 | 01
42.04938769340515   : ->FOC     : 20 02 02 | 05 08
42.0710711479187    : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
42.18379282951355   : ->BMS     : 31 02 02 | 3c 28
42.209020376205444  : <-BMS     : 31 82 28 | 10 0a 10 0c 10 09 10 0c 10 0d 10 07 10 0d 10 0f 10 0d 0f fa 10 0d 10 11 10 11 00 00 00 00 00 00 00 00 00 00 00 00 00 00
42.287989139556885  : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
42.32002782821655   : <-Dash    : 10 84 01 | 01
42.40566110610962   : ->FOC     : 20 02 02 | 05 08
42.43798899650574   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
42.52867841720581   : ->BMS     : 31 02 02 | 02 2b
42.56046724319458   : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f6
42.65781021118164   : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
42.68960094451904   : <-Dash    : 10 84 01 | 01
42.774678230285645  : ->FOC     : 20 02 02 | 05 08
42.79574704170227   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
42.89151334762573   : ->unknown : 70 02 02 | 20 06
43.02233862876892   : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
43.051965951919556  : <-Dash    : 10 84 01 | 01
