22.656100034713745  : ->BMS     : 31 02 02 | 2d 0f
22.789103031158447  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
22.81102228164673   : <-Dash    : 10 84 01 | 01
22.838170528411865  : ->FOC     : 20 01 01 | 03
22.87030816078186   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
22.891140937805176  : ->FOC     : 20 05 02 | 1c 86
23.012851238250732  : ->BMS     : 31 02 02 | 2d 0f
23.13959312438965   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
23.161017894744873  : <-Dash    : 10 84 01 | 01
23.192775011062622  : ->FOC     : 20 01 01 | 03
23.224817991256714  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
23.24602699279785   : ->FOC     : 20 05 02 | 1c 86
23.36603045463562   : ->BMS     : 31 02 02 | 2d 0f
23.498743057250977  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
23.520151615142822  : <-Dash    : 10 84 01 | 01
23.541222095489502  : ->FOC     : 20 01 01 | 03
23.572612047195435  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
23.594227075576782  : ->FOC     : 20 05 02 | 1c 86
23.71132230758667   : ->BMS     : 31 02 02 | 2d 0f
23.843017578125     : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
23.865118265151978  : <-Dash    : 10 84 01 | 01
23.897859573364258  : ->FOC     : 20 01 01 | 03
23.96122121810913   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
23.96122121810913   : ->FOC     : 20 05 02 | 1c 86
24.07765769958496   : ->BMS     : 31 02 02 | 2d 0f
24.204275369644165  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
24.22617816925049   : <-Dash    : 10 84 01 | 01
24.24808168411255   : ->FOC     : 20 01 01 | 03
24.280545711517334  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
24.302053451538086  : ->FOC     : 20 05 02 | 1c 86
24.42795467376709   : ->BMS     : 31 02 02 | 2d 0f
24.553279876708984  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
24.574379444122314  : <-Dash    : 10 84 01 | 01
24.605690240859985  : ->FOC     : 20 01 01 | 03
24.627400159835815  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
24.65950870513916   : ->FOC     : 20 05 02 | 1c 86
24.7762770652771    : ->BMS     : 31 02 02 | 2d 0f
24.903425216674805  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
24.924701929092407  : <-Dash    : 10 84 01 | 01
24.956337690353394  : ->FOC     : 20 01 01 | 03
24.988569974899292  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
25.009801864624023  : ->FOC     : 20 05 02 | 1c 86
25.13204574584961   : ->BMS     : 31 02 02 | 2d 0f
25.254159688949585  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
25.275309085845947  : <-Dash    : 10 84 01 | 01
25.30726981163025   : ->FOC     : 20 01 01 | 03
25.338565587997437  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
25.35975193977356   : ->FOC     : 20 05 02 | 1c 86
25.481833457946777  : ->BMS     : 31 02 02 | 2d 0f
25.612764596939087  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
25.633445739746094  : <-Dash    : 10 84 01 | 01
25.654568910598755  : ->FOC     : 20 01 01 | 03
25.68622899055481   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
25.717860460281372  : ->FOC     : 20 05 02 | 1c 86
25.831165075302124  : ->BMS     : 31 02 02 | 2d 0f
25.967812538146973  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
25.989627838134766  : <-Dash    : 10 84 01 | 01
26.01090431213379   : ->FOC     : 20 01 01 | 03
26.042773962020874  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
26.0640766620636    : ->FOC     : 20 05 02 | 1c 86
26.180216073989868  : ->BMS     : 31 02 02 | 2d 0f
26.32115602493286   : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
26.34251880645752   : <-Dash    : 10 84 01 | 01
26.364310264587402  : ->FOC     : 20 01 01 | 03
26.3963623046875    : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
26.417653799057007  : ->FOC     : 20 05 02 | 1c 86
26.540544509887695  : ->BMS     : 31 02 02 | 2d 0f
26.6677508354187    : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
26.68926191329956   : <-Dash    : 10 84 01 | 01
26.721261739730835  : ->FOC     : 20 01 01 | 03
26.7424054145813    : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
26.774473428726196  : ->FOC     : 20 05 02 | 1c 86
