30.4516179561615    : ->FOC     : 20 01 01 | 03
42.04231381416321   : <-Dash    : 10 84 01 | ce
42.0845787525177    : ->BMS     : 31 02 02 | 2d 0f
42.11675190925598   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
42.190171241760254  : ->FOC     : 20 02 02 | 05 08
42.211591720581055  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
42.2968852519989    : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
42.30798864364624   : <-Dash    : 10 84 01 | ce
42.38220405578613   : ->BMS     : 31 02 02 | 2d 0f
42.414291858673096  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
42.490549087524414  : ->FOC     : 20 02 02 | 05 08
42.51189565658569   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
42.60779547691345   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
42.61835241317749   : <-Dash    : 10 84 01 | ce
42.69283413887024   : ->BMS     : 31 02 02 | 2d 0f
42.7142870426178    : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
42.79098153114319   : ->FOC     : 20 02 02 | 05 08
42.81223917007446   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
42.907692193984985  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
42.91826510429382   : <-Dash    : 10 84 01 | ce
42.99272704124451   : ->BMS     : 31 02 02 | 2d 0f
43.01418089866638   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
43.091997146606445  : ->FOC     : 20 02 02 | 05 08
43.11348247528076   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
43.20064306259155   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
43.21141266822815   : <-Dash    : 10 84 01 | ce
43.28785753250122   : ->BMS     : 31 02 02 | 2d 0f
43.31953740119934   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
43.39337515830994   : ->FOC     : 20 02 02 | 05 08
43.414270639419556  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
43.50888752937317   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
43.51943111419678   : <-Dash    : 10 84 01 | ce
43.59364628791809   : ->BMS     : 31 02 02 | 2d 0f
43.615145206451416  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
43.690953969955444  : ->FOC     : 20 02 02 | 05 08
43.712589263916016  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
43.81081485748291   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
43.82327198982239   : <-Dash    : 10 84 01 | ce
43.88665723800659   : ->BMS     : 31 02 02 | 2d 0f
