19.845689296722412  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
19.8773193359375    : ->BMS     : 31 02 02 | 2d 0f
19.908629179000854  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
19.951313972473145  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
19.983295917510986  : <-Dash    : 10 84 01 | 01
20.025832414627075  : ->FOC     : 20 02 02 | 05 08
20.047668933868408  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
20.069825172424316  : ->BMS     : 31 02 02 | 2d 0f
20.10282325744629   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
20.145418405532837  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
20.187997102737427  : <-Dash    : 10 84 01 | 01
20.21998357772827   : ->FOC     : 20 02 02 | 05 08
20.241390228271484  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
20.273052215576172  : ->BMS     : 31 02 02 | 2d 0f
20.30485510826111   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
20.34762978553772   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
20.381869316101074  : <-Dash    : 10 84 01 | 01
20.425234079360962  : ->FOC     : 20 02 02 | 05 08
20.45229434967041   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
20.473955392837524  : ->BMS     : 31 02 02 | 2d 0f
20.506811141967773  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
20.548680782318115  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
20.58324408531189   : <-Dash    : 10 84 01 | 01
20.625680208206177  : ->FOC     : 20 02 02 | 05 08
20.6480233669281    : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
20.669753789901733  : ->BMS     : 31 02 02 | 2d 0f
20.702032566070557  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
20.74452567100525   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
20.78703022003174   : <-Dash    : 10 84 01 | 01
20.819101333618164  : ->FOC     : 20 02 02 | 05 08
20.851786136627197  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
20.88016128540039   : ->BMS     : 31 02 02 | 2d 0f
20.90159296989441   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
20.944287061691284  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
20.987081050872803  : <-Dash    : 10 84 01 | 01
21.018941640853882  : ->FOC     : 20 02 02 | 05 08
21.04741334915161   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
21.079756259918213  : ->BMS     : 31 02 02 | 2d 0f
21.10088849067688   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
21.144190788269043  : ->Dash    : 10 04 0f | 04 00 02 00 01 00 00 00 00 00 64 00 00 01 00
21.186444997787476  : <-Dash    : 10 84 01 | 01
21.218774557113647  : ->FOC     : 20 02 02 | 05 08
21.25155210494995   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
21.273375034332275  : ->BMS     : 31 02 02 | 2d 0f
21.30549120903015   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
21.348385095596313  : ->Dash    : 10 04 0f | 04 00 02 00 01 00 00 00 00 00 64 00 00 01 00
21.359431505203247  : <-Dash    : 10 84 01 | 01
21.42515778541565   : ->FOC     : 20 02 02 | 05 08
21.44659423828125   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
21.478346824645996  : ->BMS     : 31 02 02 | 2d 0f
21.499720811843872  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
21.541454553604126  : ->Dash    : 10 04 0f | 04 00 02 00 01 00 00 00 00 00 64 00 00 01 00
21.563238620758057  : <-Dash    : 10 84 01 | 01
21.626785039901733  : ->FOC     : 20 02 02 | 05 08
21.652440786361694  : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
21.67423701286316   : ->BMS     : 31 02 02 | 2d 0f
21.70638656616211   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
21.748823881149292  : ->Dash    : 10 04 0f | 04 00 02 00 01 00 00 00 00 00 64 00 00 01 00
21.770684480667114  : <-Dash    : 10 84 01 | 01
21.817094564437866  : ->FOC     : 20 02 02 | 05 08
21.849365234375     : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
21.870511770248413  : ->BMS     : 31 02 02 | 2d 0f
21.90269160270691   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
21.945706844329834  : ->Dash    : 10 04 0f | 04 00 02 00 01 00 00 00 00 00 64 00 00 01 00
21.977016925811768  : <-Dash    : 10 84 01 | 01
22.019113540649414  : ->FOC     : 20 02 02 | 05 08
22.05112934112549   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
22.072593927383423  : ->BMS     : 31 02 02 | 2d 0f
22.104285955429077  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
22.146499633789062  : ->Dash    : 10 04 0f | 04 00 02 00 01 00 00 00 00 00 64 00 00 01 00
22.178776502609253  : <-Dash    : 10 84 01 | 01
22.221900939941406  : ->FOC     : 20 02 02 | 05 08
22.245659112930298  : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
22.26901364326477   : ->BMS     : 31 02 02 | 2d 0f
22.300758361816406  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
22.340033769607544  : ->Dash    : 10 04 0f | 04 00 02 00 01 00 00 00 00 00 64 00 00 01 00
22.372366189956665  : <-Dash    : 10 84 01 | 01
22.4250271320343    : ->FOC     : 20 02 02 | 05 08
22.45262908935547   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
22.4742910861969    : ->BMS     : 31 02 02 | 2d 0f
22.506482362747192  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
22.5493483543396    : ->Dash    : 10 04 0f | 04 00 02 00 01 00 00 00 00 00 64 00 00 01 00
22.581938982009888  : <-Dash    : 10 84 01 | 01
22.625002145767212  : ->FOC     : 20 02 02 | 05 08
22.64691662788391   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
22.669000387191772  : ->BMS     : 31 02 02 | 2d 0f
22.70124840736389   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
22.743659734725952  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
22.78555393218994   : <-Dash    : 10 84 01 | 01
22.8188693523407    : ->FOC     : 20 02 02 | 05 08
22.852062225341797  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
22.873156785964966  : ->BMS     : 31 02 02 | 2d 0f
22.905275344848633  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
22.948014497756958  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
22.982593774795532  : <-Dash    : 10 84 01 | 01
23.019639015197754  : ->FOC     : 20 02 02 | 05 08
23.05222249031067   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
23.073899030685425  : ->BMS     : 31 02 02 | 2d 0f
23.099310636520386  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
23.141434907913208  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
23.21927571296692   : <-Dash    : 10 84 01 | 01
23.21927571296692   : ->FOC     : 20 02 02 | 05 08
23.263599157333374  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
23.281680583953857  : ->BMS     : 31 02 02 | 2d 0f
23.30294370651245   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
23.346071481704712  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
23.36760115623474   : <-Dash    : 10 84 01 | 01
23.420832872390747  : ->FOC     : 20 02 02 | 05 08
23.44210171699524   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
23.473984956741333  : ->BMS     : 31 02 02 | 2d 0f
23.506360292434692  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
23.548251152038574  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
23.569796085357666  : <-Dash    : 10 84 01 | 01
23.61738657951355   : ->FOC     : 20 02 02 | 05 08
23.649052143096924  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
23.67054319381714   : ->BMS     : 31 02 02 | 2d 0f
23.702389001846313  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
23.75078511238098   : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
23.772268772125244  : <-Dash    : 10 84 01 | 01
23.825443029403687  : ->FOC     : 20 02 02 | 05 08
23.849167108535767  : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
23.87029266357422   : ->BMS     : 31 02 02 | 2d 0f
23.90188193321228   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
23.945635557174683  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
23.966676712036133  : <-Dash    : 10 84 01 | 01
24.018994331359863  : ->FOC     : 20 02 02 | 05 08
24.05192279815674   : <-FOC     : 20 82 0c | 30 26 3c 01 00 19 00 00 00 00 08 00
24.068700551986694  : ->BMS     : 31 02 02 | 2d 0f
24.10186767578125   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
24.151686668395996  : ->Dash    : 10 04 0f | 04 00 01 00 01 00 00 00 00 00 64 00 00 01 00
24.172998905181885  : <-Dash    : 10 84 01 | 01
24.216636180877686  : ->FOC     : 20 02 02 | 05 08
24.249105215072632  : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
24.270093202590942  : ->BMS     : 31 02 02 | 2d 0f
24.302359104156494  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
24.34020709991455   : ->Dash    : 10 04 0f | 04 00 02 00 01 00 00 00 00 00 64 00 00 01 00
24.372729301452637  : <-Dash    : 10 84 01 | 01
24.426762580871582  : ->FOC     : 20 02 02 | 05 08
24.452040195465088  : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
24.473963260650635  : ->BMS     : 31 02 02 | 2d 0f
24.50607466697693   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
24.548429250717163  : ->Dash    : 10 04 0f | 04 00 02 00 01 00 00 00 00 00 64 00 00 01 00
24.572046518325806  : <-Dash    : 10 84 01 | 01
